time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2015-01-31,0.58,,,,,,,
2015-02-28,0.59,,,,,,,
2015-03-31,0.55,,,,,,,
2015-04-30,0.56,,,,,,,
2015-05-31,0.57,,,,,,,
2015-06-30,0.59,,,,,,,
2015-07-31,0.62,,,,,,,
2015-08-31,0.56,,,,,,,
2015-09-30,0.56,,,,3.04,38.19,6.82,
2015-10-31,0.61,,,,3.15,38.19,8.28,
2015-11-30,0.57,12.89,10.24,,3.05,36.13,8.39,20.41
2015-12-31,0.58,13.19,10.34,12.34,2.92,40.0,8.78,17.93
2016-01-31,0.55,12.44,8.43,12.85,2.75,37.42,8.05,19.42
2016-02-29,0.56,12.32,8.88,11.9,2.79,37.16,8.39,21.16
2016-03-31,0.56,12.32,8.38,12.74,2.95,36.9,8.45,21.22
2016-04-30,0.6,13.82,8.78,14.17,3.35,36.13,8.39,26.39
2016-05-31,0.62,14.03,9.14,14.17,3.38,35.87,9.81,31.05
2016-06-30,0.63,14.21,8.78,14.82,3.97,34.32,14.06,32.34
2016-07-31,0.65,16.22,8.83,15.3,4.46,33.03,15.31,30.27
2016-08-31,0.67,16.22,8.23,14.42,5.09,35.61,16.46,33.12
2016-09-30,0.69,15.85,8.53,16.35,5.43,36.29,15.91,36.74
2016-10-31,0.68,14.9,8.38,15.61,4.84,33.91,16.57,34.39
2016-11-30,0.67,14.57,8.09,15.43,5.0,33.09,18.86,33.3
2016-12-31,0.66,14.67,7.51,15.43,5.13,33.45,17.83,32.74
2017-01-31,0.7,16.27,8.93,15.43,5.03,33.42,18.29,32.47
2017-02-28,0.71,15.48,8.7,16.53,4.75,33.22,19.1,32.57
2017-03-31,0.72,15.27,9.28,15.36,5.43,38.12,19.23,29.71
2017-04-30,0.72,14.53,8.77,15.02,5.23,36.01,19.09,30.35
2017-05-31,0.74,14.98,9.75,14.79,5.41,35.0,21.55,30.41
2017-06-30,0.78,15.94,10.78,15.69,6.06,34.03,23.72,32.39
2017-07-31,0.78,15.63,11.74,16.35,6.12,34.67,23.16,34.78
2017-08-31,0.78,15.36,11.29,18.0,6.64,38.48,25.21,34.78
2017-09-30,0.8,15.9,10.69,18.81,7.37,44.64,26.8,38.96
2017-10-31,0.84,17.51,11.92,21.49,7.01,48.2,29.62,40.31
2017-11-30,0.95,20.51,13.99,27.37,7.81,54.36,31.11,45.45
2017-12-31,0.98,22.96,13.91,28.4,8.88,62.14,30.19,55.54
2018-01-31,1.11,28.16,18.66,31.59,11.81,74.61,28.92,71.05
2018-02-28,1.12,31.21,21.27,34.86,12.51,72.26,28.58,64.95
2018-03-31,1.17,29.81,23.67,43.06,11.45,91.95,26.0,74.93
2018-04-30,1.05,25.37,19.69,46.29,10.2,74.37,23.73,63.58
2018-05-31,0.97,22.88,15.96,42.62,10.63,65.62,24.71,51.55
2018-06-30,0.96,24.53,14.18,47.77,10.19,64.0,26.52,51.61
2018-07-31,0.96,24.74,14.35,47.28,9.91,68.21,27.17,51.2
2018-08-31,0.99,26.43,18.77,45.95,10.6,76.96,27.92,61.27
2018-09-30,1.02,26.64,19.2,43.68,11.22,75.18,29.59,68.83
2018-10-31,0.91,23.81,16.09,43.2,10.68,67.24,26.24,61.87
2018-11-30,0.93,23.73,17.13,45.2,8.81,64.81,26.21,54.01
2018-12-31,0.89,22.92,18.77,42.35,8.21,62.79,26.99,51.52
2019-01-31,0.91,24.33,17.18,46.17,7.35,62.95,25.75,52.23
2019-02-28,0.97,25.91,17.73,50.66,8.91,72.02,26.92,58.42
2019-03-31,0.98,28.83,19.53,51.5,8.54,68.3,26.3,59.58
2019-04-30,0.98,29.08,18.98,50.53,8.91,70.4,26.34,68.44
2019-05-31,0.96,28.78,17.18,50.93,8.51,69.51,27.17,63.28
2019-06-30,0.95,30.2,17.29,51.42,8.1,67.24,29.28,59.16
2019-07-31,0.99,34.35,19.37,54.22,7.77,64.81,33.7,66.19
2019-08-31,0.98,33.28,21.14,54.88,7.65,61.08,36.89,62.44
2019-09-30,1.0,35.17,21.49,53.24,7.56,63.6,39.79,65.98
2019-10-31,1.0,37.56,22.15,52.88,7.51,60.11,39.32,64.24
2019-11-30,0.97,36.54,22.85,51.42,7.87,56.71,34.39,62.38
2019-12-31,0.96,38.98,26.04,51.1,8.1,45.77,35.97,58.16
2020-01-31,0.94,38.33,29.06,51.02,8.3,40.59,34.96,53.69
2020-02-29,0.88,35.61,25.67,46.84,7.7,39.7,33.61,47.05
2020-03-31,0.66,26.79,17.41,37.06,5.81,39.7,18.59,34.01
2020-04-30,0.77,29.39,20.09,40.84,7.41,47.64,25.78,39.35
2020-05-31,0.86,36.82,22.63,43.11,9.44,50.8,26.69,46.18
2020-06-30,0.83,34.7,21.38,39.55,9.23,43.83,25.5,42.83
2020-07-31,0.8,33.02,20.68,38.88,9.13,40.91,23.51,42.65
2020-08-31,0.88,35.87,23.1,39.99,10.33,44.56,29.47,48.25
2020-09-30,0.91,36.34,23.02,40.66,11.11,44.23,32.91,46.42
2020-10-31,0.93,35.87,21.72,47.33,12.85,68.05,33.5,45.84
2020-11-30,1.0,40.19,23.53,46.17,14.93,66.43,37.12,54.37
2020-12-31,1.1,42.65,27.48,48.08,17.44,72.88,38.04,56.39
2021-01-31,1.06,40.52,22.89,44.17,16.47,70.1,42.46,49.68
2021-02-28,1.17,42.78,25.02,48.44,19.18,74.03,43.2,58.14
2021-03-31,1.19,41.3,24.64,52.39,19.69,75.84,41.5,58.41
2021-04-30,1.24,43.57,23.52,58.22,24.44,80.35,45.08,54.37
2021-05-31,1.33,42.96,27.94,52.22,30.17,90.27,44.32,53.78
2021-06-30,1.41,50.71,27.11,52.88,29.49,91.33,48.64,62.47
2021-07-31,1.31,42.7,23.58,47.64,27.08,110.75,52.51,60.18
