time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2015-01-05 07:00:00,0.54,,,,,,,
2015-01-06 07:00:00,0.55,,,,,,,
2015-01-07 07:00:00,0.55,,,,,,,
2015-01-08 07:00:00,0.55,,,,,,,
2015-01-09 07:00:00,0.57,,,,,,,
2015-01-12 07:00:00,0.57,,,,,,,
2015-01-13 07:00:00,0.58,,,,,,,
2015-01-14 07:00:00,0.58,,,,,,,
2015-01-15 07:00:00,0.58,,,,,,,
2015-01-16 07:00:00,0.57,,,,,,,
2015-01-19 07:00:00,0.57,,,,,,,
2015-01-20 07:00:00,0.57,,,,,,,
2015-01-21 07:00:00,0.57,,,,,,,
2015-01-22 07:00:00,0.57,,,,,,,
2015-01-23 07:00:00,0.58,,,,,,,
2015-01-26 07:00:00,0.58,,,,,,,
2015-01-27 07:00:00,0.58,,,,,,,
2015-01-28 07:00:00,0.58,,,,,,,
2015-01-29 07:00:00,0.58,,,,,,,
2015-01-30 07:00:00,0.58,,,,,,,
2015-02-02 07:00:00,0.57,,,,,,,
2015-02-03 07:00:00,0.56,,,,,,,
2015-02-04 07:00:00,0.56,,,,,,,
2015-02-05 07:00:00,0.57,,,,,,,
2015-02-06 07:00:00,0.57,,,,,,,
2015-02-09 07:00:00,0.57,,,,,,,
2015-02-10 07:00:00,0.57,,,,,,,
2015-02-11 07:00:00,0.58,,,,,,,
2015-02-12 07:00:00,0.58,,,,,,,
2015-02-13 07:00:00,0.59,,,,,,,
2015-02-24 07:00:00,0.6,,,,,,,
2015-02-25 07:00:00,0.59,,,,,,,
2015-02-26 07:00:00,0.6,,,,,,,
2015-02-27 07:00:00,0.59,,,,,,,
2015-03-02 07:00:00,0.59,,,,,,,
2015-03-03 07:00:00,0.6,,,,,,,
2015-03-04 07:00:00,0.6,,,,,,,
2015-03-05 07:00:00,0.6,,,,,,,
2015-03-06 07:00:00,0.59,,,,,,,
2015-03-09 07:00:00,0.59,,,,,,,
2015-03-10 07:00:00,0.59,,,,,,,
2015-03-11 07:00:00,0.59,,,,,,,
2015-03-12 07:00:00,0.59,,,,,,,
2015-03-13 07:00:00,0.59,,,,,,,
2015-03-16 07:00:00,0.58,,,,,,,
2015-03-17 07:00:00,0.58,,,,,,,
2015-03-18 07:00:00,0.58,,,,,,,
2015-03-19 07:00:00,0.57,,,,,,,
2015-03-20 07:00:00,0.58,,,,,,,
2015-03-23 07:00:00,0.57,,,,,,,
2015-03-24 07:00:00,0.57,,,,,,,
2015-03-25 07:00:00,0.56,,,,,,,
